training_loss,validation_loss,training_accuracy,validation_accuracy
1.8886016607284546,1.5686209201812744,0.2739599943161011,0.415800005197525
1.5836479663848877,1.4017738103866577,0.40318000316619873,0.489300012588501
1.4491190910339355,1.2435872554779053,0.4641999900341034,0.54830002784729
1.3578734397888184,1.212356448173523,0.5032600164413452,0.5641999840736389
1.3025089502334595,1.1576775312423706,0.5272600054740906,0.5856999754905701
1.2583107948303223,1.1412982940673828,0.5451599955558777,0.5997999906539917
1.2230587005615234,1.0817562341690063,0.5623199939727783,0.6255999803543091
1.1849285364151,1.0437718629837036,0.5756000280380249,0.6407999992370605
1.1653001308441162,1.0355459451675415,0.5837600231170654,0.6355999708175659
1.1490864753723145,1.0394173860549927,0.5907800197601318,0.6341000199317932
1.1280862092971802,1.0223757028579712,0.5991799831390381,0.6442000269889832
1.1182650327682495,0.9836309552192688,0.605180025100708,0.6625999808311462
1.1061179637908936,0.9858570098876953,0.609220027923584,0.6593999862670898
1.0894523859024048,1.0016201734542847,0.6139400005340576,0.6532999873161316
1.0743865966796875,0.9658929705619812,0.6194199919700623,0.6682000160217285
1.0678335428237915,0.9740351438522339,0.6242200136184692,0.6620000004768372
1.054499864578247,0.9497638940811157,0.6297600269317627,0.6699000000953674
1.0501344203948975,0.9346169233322144,0.6327400207519531,0.6794000267982483
1.041356086730957,0.9332087635993958,0.6361799836158752,0.6800000071525574
1.0327398777008057,0.9309459924697876,0.6355000138282776,0.6845999956130981
1.0272701978683472,0.923570990562439,0.6395400166511536,0.6873999834060669
1.0203802585601807,0.9285007119178772,0.6446599960327148,0.6829000115394592
1.013155460357666,0.9068431854248047,0.6445199847221375,0.6884999871253967
1.0099782943725586,0.8915821313858032,0.643779993057251,0.6984000205993652
1.0078357458114624,0.9099266529083252,0.6485599875450134,0.6944000124931335
1.0049234628677368,0.903680682182312,0.6493399739265442,0.6922000050544739
0.9914543628692627,0.88824462890625,0.6539000272750854,0.6952000260353088
0.9932892322540283,0.8866586685180664,0.6556000113487244,0.6995000243186951
0.9853999018669128,0.8887135982513428,0.6579599976539612,0.6995999813079834
0.9822075963020325,0.8798390626907349,0.6563599705696106,0.6988999843597412
0.9835060238838196,0.8890759944915771,0.6603599786758423,0.7077000141143799
0.972320020198822,0.8770979642868042,0.6613399982452393,0.7064999938011169
0.9753561615943909,0.8809110522270203,0.6616399884223938,0.7031999826431274
0.9669613242149353,0.8745853304862976,0.664680004119873,0.7013999819755554
0.9677477478981018,0.8554210662841797,0.6640200018882751,0.7078999876976013
0.9638174772262573,0.8535501956939697,0.6640200018882751,0.7041000127792358
0.9636044502258301,0.8516488075256348,0.665440022945404,0.7152000069618225
0.9594772458076477,0.8516637682914734,0.6668199896812439,0.7139999866485596
0.9526385068893433,0.8833971619606018,0.6682800054550171,0.699400007724762
0.9455475211143494,0.8727253675460815,0.6717000007629395,0.7062000036239624
0.9484001398086548,0.8606237173080444,0.6700599789619446,0.7085999846458435
0.9487628936767578,0.8623908162117004,0.6731799840927124,0.7113000154495239
0.9451775550842285,0.836214542388916,0.6738200187683105,0.7192999720573425
0.9437572360038757,0.8567978739738464,0.6734799742698669,0.7113000154495239
0.9377031326293945,0.8630751967430115,0.674780011177063,0.7092000246047974
0.9415426850318909,0.8425470590591431,0.6738399863243103,0.7142999768257141
0.9385327100753784,0.8369089961051941,0.675320029258728,0.7117000222206116
0.9360545873641968,0.8424326181411743,0.6772400140762329,0.7132999897003174
0.935976505279541,0.8764623999595642,0.6761599779129028,0.714900016784668
0.9291992783546448,0.8488869071006775,0.6796799898147583,0.7164999842643738
0.9242048263549805,0.8351036906242371,0.6824399828910828,0.71670001745224
0.9322841167449951,0.8525358438491821,0.6791800260543823,0.7128000259399414
0.9270920157432556,0.8403956294059753,0.6795200109481812,0.7138000130653381
0.9302632808685303,0.8422017693519592,0.6780200004577637,0.7163000106811523
0.9282565116882324,0.8353548049926758,0.6794400215148926,0.7249000072479248
0.9188734292984009,0.8527368307113647,0.6843000054359436,0.7117999792098999
0.9231299757957458,0.8486382961273193,0.6797800064086914,0.7135999798774719
0.9211143851280212,0.8193561434745789,0.6818400025367737,0.7182000279426575
0.9152133464813232,0.8468654155731201,0.6860399842262268,0.7175999879837036
0.9227527379989624,0.8445733189582825,0.6837000250816345,0.7200000286102295
0.913364589214325,0.8223109245300293,0.6887199878692627,0.7157999873161316
0.9136220216751099,0.8316521644592285,0.6858199834823608,0.7178999781608582
0.9112985134124756,0.8305687308311462,0.6878799796104431,0.7240999937057495
0.9105216264724731,0.8434057831764221,0.6873599886894226,0.7211999893188477
0.906792163848877,0.8298414349555969,0.689520001411438,0.7318999767303467
0.9127230644226074,0.8375692367553711,0.6876199841499329,0.7174999713897705
0.9047706127166748,0.8149346709251404,0.6927199959754944,0.7271999716758728
0.9102140665054321,0.8350284099578857,0.6886600255966187,0.7268999814987183
0.9016000628471375,0.8339802622795105,0.6893200278282166,0.7149999737739563
0.9051565527915955,0.8098318576812744,0.688319981098175,0.7293000221252441
0.9040796160697937,0.8130727410316467,0.6893600225448608,0.7282999753952026
0.9094446897506714,0.8347973823547363,0.6855800151824951,0.7225000262260437
0.9062361717224121,0.8194466829299927,0.6884599924087524,0.7235999703407288
0.9025411605834961,0.828743040561676,0.6898000240325928,0.718999981880188
0.9047540426254272,0.821548342704773,0.6909199953079224,0.718500018119812
0.9064692854881287,0.8267847895622253,0.6915000081062317,0.7214000225067139
0.8937022686004639,0.8174378871917725,0.6945400238037109,0.7246000170707703
0.8959583044052124,0.8421225547790527,0.6937199831008911,0.7129999995231628
0.8927826285362244,0.8136911392211914,0.6958000063896179,0.7229999899864197
0.8987686634063721,0.8305698037147522,0.6922399997711182,0.7235000133514404
0.8984073996543884,0.8272495865821838,0.6936600208282471,0.7239000201225281
0.8990803360939026,0.8293149471282959,0.6940199732780457,0.7192000150680542
0.8912354111671448,0.8058407306671143,0.6972799897193909,0.7268000245094299
0.8962026834487915,0.8388791084289551,0.6941199898719788,0.7178999781608582
0.8936722874641418,0.8303056359291077,0.6940600275993347,0.723800003528595
